"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER SCIENCE & DESIGN,10577,73.49177096
"Government Engineering College, Bharuch",CHEMICAL ENGINEERING,10593,73.45081325
"L.D.R.P. Institute Of Tech. & Research., Gandhinagar",INFORMATION TECHNOLOGY,10667,73.27677311
"Indus Institute Of Tech. & Engg., Racharda, Ahmedabad",COMPUTER SCIENCE & ENGINEERING,10702,73.18188401
"Government Engineering College, Modasa",INFORMATION TECHNOLOGY,10975,72.59458713
"Government Engineering College, Dahod",COMPUTER ENGINEERING,11003,72.53970322
"Ahmedabad Institute Of Tech, Ahmedabad",COMPUTER ENGINEERING,11021,72.50996761
"L.J. Institute Of Engg And Tech., Ahmedabad",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,11324,71.725242
"R.N.G. Patel Institute of Technology-RNGPIT , Bardoli",COMPUTER SCIENCE & ENGINEERING,11377,71.56339726
"Indus Institute Of Tech. & Engg., Racharda, Ahmedabad",INFORMATION TECHNOLOGY,11494,71.21862291
DR. S & S.S.Ghandhi Government Engineering College Surat,MECHANICAL ENGINEERING,11574,71.01773582
"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRONICS ENGINEERING,11663,70.82559422
"Vishwakarma Government Engineering College, Gandhinagar",ELECTRICAL ENGINEERING,11754,70.60697077
"Pandit Deendayal Energy University , Gandhinagar",MECHANICAL ENGINEERING,12083,69.89863049
"L.J. Institute Of Engg And Tech., Ahmedabad",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNI,12289,69.38601515
"Faculty Of Technology And Engineering(GIA), Dharmsinh Desai
University, (DDU), Nadiad",CIVIL ENGINEERING,12388,69.17403734
"SCHOOL OF TECHNOLOGY, GSFC UNIVERSITY, VADODARA",COMPUTER SCIENCE & ENGINEERING,12509,68.90929364
"L.J. Institute Of Engg And Tech., Ahmedabad",COMPUTER SCIENCE & DESIGN,12527,68.87125205
"Faculty Of Technology And Engineering(GIA), Dharmsinh Desai
University, (DDU), Nadiad",INSTRUMENTATION & CONTROL ENGINEERING,12611,68.66339333
"Gandhinagar Institute Of Technology, Moti Bhoyan, Kalol,
Gandhinagar",COMPUTER ENGINEERING,12693,68.4773782
"Ahmedabad Institute Of Tech, Ahmedabad",INFORMATION TECHNOLOGY,13091,67.52351135
"Government Engineering College Sector 28, Gandhinagar",ELECTRONICS & COMMUNICATION ENGINEERING,13114,67.46085413
"L.D.College Of Engineering, Ahmedabad",AUTOMOBILE ENGINEERING,13200,67.24392009
"Parul Institute of Engineering & Technology, Waghodia, Vadodara",COMPUTER ENGINEERING,13217,67.20040274
"L.D.College Of Engineering, Ahmedabad",ENVIRONMENTAL ENGINEERING,13299,66.99407442
"Krishna School of Emerging Technology & Applied Research
(Formerly Known as Babaria Institute Of Technology) , Varnama, Vadodara",COMPUTER SCIENCE & ENGINEERING,13451,66.6443012
DR. S & S.S.Ghandhi Government Engineering College Surat,CIVIL ENGINEERING,13482,66.55730547
"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",CIVIL ENGINEERING,13586,66.25109991
DR. S & S.S.Ghandhi Government Engineering College Surat,ELECTRONICS & COMMUNICATION ENGINEERING,13666,66.04317384
"Unitedworld School of Computational Intelligence, Uvarsad,
Gandhinagar",COMPUTER SCIENCE & ENGINEERING,13705,65.94733973
"New L.J. Institute of Engineering & Technology, Ahmedabad",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL IN,13778,65.82360192
"Pandit Deendayal Energy University ,Gandhinagar",PETROLEUM ENGINEERING,13795,65.80537764
"Pandit Deendayal Energy University ,Gandhinagar",CHEMICAL ENGINEERING,13831,65.72969387
"GIDC Degree Engineering College, Abrama, Navsari",COMPUTER ENGINEERING,13946,65.44692432
"Parul Institute of Technology, Waghodia, Vadodara",BIOMEDICAL ENGINEERING,14098,65.08440545
DR. S & S.S.Ghandhi Government Engineering College Surat,ELECTRICAL ENGINEERING,14105,65.07910205
"Department of Engineering and Computing , Institute of Advance
Research, Gandhinagar",INFORMATION & COMMUNICATION TECHNOLOGY,14148,64.98251828
"SAL ENGINEERING &TECHNICAL INSTITUTE, SOLA, AHMEDABAD",INFORMATION TECHNOLOGY,14206,64.81263305
"Darshan Institute Of Engg. & Tech., Rajkot-Morbi Highway, Hadala",COMPUTER ENGINEERING,14227,64.77042792
"Gandhinagar Institute Of Technology, Moti Bhoyan, Kalol,
Gandhinagar",INFORMATION TECHNOLOGY,14321,64.53430971
"A.D.Patel Institute Of Tech., Karamsad",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,14510,64.01597325
"School of Engg. and Applied Science, Ahmedabad University,
Ahmedabad",MECHANICAL ENGINEERING,14795,63.28380096
"Sal Institute Of Tech. & Engg. Research, Ahmedabad",COMPUTER ENGINEERING,14802,63.26101382
"Sal Institute Of Tech. & Engg. Research, Ahmedabad",COMPUTER SCIENCE & ENGINEERING,14881,63.11395883
"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",MECHANICAL ENGINEERING,14980,62.86110715
"Madhuben & Bhanubhai Patel Institute of Technology, New
V.V.Nagar",COMPUTER ENGINEERING,15257,62.20181232
"Parul Institute of Engineering & Technology, Waghodia, Vadodara",COMPUTER SCIENCE & ENGINEERING,15407,61.93758847
"SCHOOL OF SCIENCE & ENGINEERING., Navrachana University,
Vadodara",COMPUTER SCIENCE & ENGINEERING,15448,61.84330932
"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",ELECTRONICS & COMMUNICATION ENGINEERING,15764,61.05870843
"Madhuben & Bhanubhai Patel Institute of Technology, New
V.V.Nagar",INFORMATION TECHNOLOGY,16544,59.22202753
"Ganpat University, U.V.Patel College of Engineering, Kherva,
Mehsana",BIOMEDICAL ENGINEERING,16614,59.01821523
"Government Engineering College, Valsad",CHEMICAL ENGINEERING,16671,58.89603275
"SARDAR PATEL COLLEGE OF ENGINEERING, BAKROL ANAND",COMPUTER ENGINEERING,17131,57.72161747
"SAL ENGINEERING &TECHNICAL INSTITUTE, SOLA, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,17376,57.16525734
"Krishna School of Emerging Technology & Applied Research
(Formerly Known as Babaria Institute Of Technology) , Varnama, Vadodara",INFORMATION TECHNOLOGY,17400,57.09387654
